date,spy_close,tlt_close,gld_close,yield_spread_10y_2y
2010-01-04,84.79639434814453,56.13517761230469,109.80000305175781,2.76
2010-01-05,84.79639434814453,56.13517761230469,109.80000305175781,2.76
2010-01-05,85.02082824707031,56.497718811035156,109.69999694824219,2.76
2010-01-06,85.02082824707031,56.497718811035156,109.69999694824219,2.84
2010-01-06,85.08071899414062,55.74144744873047,111.51000213623047,2.84
2010-01-07,85.08071899414062,55.74144744873047,111.51000213623047,2.82
2010-01-07,85.43986511230469,55.83514404296875,110.81999969482422,2.82
2010-01-08,85.43986511230469,55.83514404296875,110.81999969482422,2.87
2010-01-08,85.72416687011719,55.810150146484375,111.37000274658203,2.87
2010-01-11,85.72416687011719,55.810150146484375,111.37000274658203,2.9
2010-01-11,85.84387969970703,55.503875732421875,112.8499984741211,2.9
2010-01-12,85.84387969970703,55.503875732421875,112.8499984741211,2.82
2010-01-12,85.04326629638672,56.453922271728516,110.48999786376953,2.82
2010-01-13,85.04326629638672,56.453922271728516,110.48999786376953,2.83
2010-01-13,85.76158142089844,55.79762268066406,111.54000091552734,2.83
2010-01-14,85.76158142089844,55.79762268066406,111.54000091552734,2.82
2010-01-14,85.99354553222656,56.57895278930664,112.02999877929688,2.82
2010-01-15,85.99354553222656,56.57895278930664,112.02999877929688,2.81
2010-01-15,85.02832794189453,56.92897033691406,110.86000061035156,2.81
2010-01-19,85.02832794189453,56.92897033691406,110.86000061035156,2.8
2010-01-19,86.09080505371094,56.7664909362793,111.5199966430664,2.8
2010-01-20,86.09080505371094,56.7664909362793,111.5199966430664,2.76
2010-01-20,85.21537780761719,57.34156036376953,108.94000244140625,2.76
2010-01-21,85.21537780761719,57.34156036376953,108.94000244140625,2.75
2010-01-21,83.57675170898438,57.60403823852539,107.37000274658203,2.75
2010-01-22,83.57675170898438,57.60403823852539,107.37000274658203,2.78
2010-01-22,81.71371459960938,57.50404739379883,107.16999816894531,2.78
2010-01-25,81.71371459960938,57.50404739379883,107.16999816894531,2.8
2010-01-25,82.1326904296875,57.241485595703125,107.4800033569336,2.8
2010-01-26,82.1326904296875,57.241485595703125,107.4800033569336,2.78
2010-01-26,81.78849792480469,57.260223388671875,107.55999755859375,2.78
2010-01-27,81.78849792480469,57.260223388671875,107.55999755859375,2.76
2010-01-27,82.17757415771484,57.228981018066406,106.52999877929688,2.76
2010-01-28,82.17757415771484,57.228981018066406,106.52999877929688,2.81
2010-01-28,81.2348403930664,57.19776153564453,106.4800033569336,2.81
2010-01-29,81.2348403930664,57.19776153564453,106.4800033569336,2.81
2010-01-29,80.35189819335938,57.69778823852539,105.95999908447266,2.81
2010-02-01,80.35189819335938,57.69778823852539,105.95999908447266,2.82
2010-02-01,81.6014404296875,57.174034118652344,108.3499984741211,2.82
2010-02-02,81.6014404296875,57.174034118652344,108.3499984741211,2.81
2010-02-02,82.5890884399414,57.33708572387695,109.12999725341797,2.81
2010-02-03,82.5890884399414,57.33708572387695,109.12999725341797,2.85
2010-02-03,82.17757415771484,56.672264099121094,108.69999694824219,2.85
2010-02-04,82.17757415771484,56.672264099121094,108.69999694824219,2.82
2010-02-04,79.64111328125,57.569217681884766,104.37000274658203,2.82
2010-02-05,79.64111328125,57.569217681884766,104.37000274658203,2.82
2010-02-05,79.80572509765625,57.69463348388672,104.68000030517578,2.82
2010-02-08,79.80572509765625,57.69463348388672,104.68000030517578,2.83
2010-02-08,79.22955322265625,57.769935607910156,104.04000091552734,2.83
2010-02-09,79.22955322265625,57.769935607910156,104.04000091552734,2.83
2010-02-09,80.22472381591797,57.192840576171875,105.41000366210938,2.83
2010-02-10,80.22472381591797,57.192840576171875,105.41000366210938,2.81
2010-02-10,80.0676040649414,56.64714050292969,105.12000274658203,2.81
2010-02-11,80.0676040649414,56.64714050292969,105.12000274658203,2.82
2010-02-11,80.90559387207031,56.33979415893555,107.12999725341797,2.82
2010-02-12,80.90559387207031,56.33979415893555,107.12999725341797,2.85
2010-02-12,80.8382568359375,56.5718879699707,107.04000091552734,2.85
2010-02-16,80.8382568359375,56.5718879699707,107.04000091552734,2.84
2010-02-16,82.1102294921875,56.67848587036133,109.62000274658203,2.84
2010-02-17,82.1102294921875,56.67848587036133,109.62000274658203,2.87
2010-02-17,82.49932861328125,56.03242874145508,109.25,2.87
2010-02-18,82.49932861328125,56.03242874145508,109.25,2.89
2010-02-18,82.98566436767578,55.80661392211914,109.9800033569336,2.89
2010-02-19,82.98566436767578,55.80661392211914,109.9800033569336,2.83
2010-02-19,83.15775299072266,56.10770034790039,109.47000122070312,2.83
2010-02-22,83.15775299072266,56.10770034790039,109.47000122070312,2.89
2010-02-22,83.17274475097656,55.875614166259766,109.06999969482422,2.89
2010-02-23,83.17274475097656,55.875614166259766,109.06999969482422,2.82
2010-02-23,82.16262817382812,56.747493743896484,107.88999938964844,2.82
2010-02-24,82.16262817382812,56.747493743896484,107.88999938964844,2.83
2010-02-24,82.91834259033203,56.88548278808594,107.36000061035156,2.83
2010-02-25,82.91834259033203,56.88548278808594,107.36000061035156,2.82
2010-02-25,82.80608367919922,57.20539855957031,108.30999755859375,2.82
2010-02-26,82.80608367919922,57.20539855957031,108.30999755859375,2.8
2010-02-26,82.85846710205078,57.50021743774414,109.43000030517578,2.8
2010-03-01,82.85846710205078,57.50021743774414,109.43000030517578,2.81
2010-03-01,83.71891784667969,57.475040435791016,109.43000030517578,2.81
2010-03-02,83.71891784667969,57.475040435791016,109.43000030517578,2.82
2010-03-02,83.95086669921875,57.399539947509766,111.0199966430664,2.82
2010-03-03,83.95086669921875,57.399539947509766,111.0199966430664,2.81
2010-03-03,84.02569580078125,57.25479507446289,111.62999725341797,2.81
2010-03-04,84.02569580078125,57.25479507446289,111.62999725341797,2.75
2010-03-04,84.28007507324219,57.55685043334961,110.83000183105469,2.75
2010-03-05,84.28007507324219,57.55685043334961,110.83000183105469,2.78
2010-03-05,85.48473358154297,56.80172348022461,110.80999755859375,2.78
2010-03-08,85.48473358154297,56.80172348022461,110.80999755859375,2.82
2010-03-08,85.49969482421875,56.506011962890625,109.87999725341797,2.82
2010-03-09,85.49969482421875,56.506011962890625,109.87999725341797,2.82
2010-03-09,85.64183807373047,56.51859664916992,109.72000122070312,2.82
2010-03-10,85.64183807373047,56.51859664916992,109.72000122070312,2.81
2010-03-10,86.02346801757812,56.37384796142578,108.47000122070312,2.81
2010-03-11,86.02346801757812,56.37384796142578,108.47000122070312,2.76
2010-03-11,86.38261413574219,56.58148956298828,108.5999984741211,2.76
2010-03-12,86.38261413574219,56.58148956298828,108.5999984741211,2.74
2010-03-12,86.39009094238281,56.93391418457031,107.94999694824219,2.74
2010-03-15,86.39009094238281,56.93391418457031,107.94999694824219,2.75
2010-03-15,86.41252899169922,56.858360290527344,108.36000061035156,2.75
2010-03-16,86.41252899169922,56.858360290527344,108.36000061035156,2.73
2010-03-16,87.10094451904297,57.31142044067383,110.4000015258789,2.73
2010-03-17,87.10094451904297,57.31142044067383,110.4000015258789,2.7
2010-03-17,87.61720275878906,57.55685043334961,109.58999633789062,2.7
2010-03-18,87.61720275878906,57.55685043334961,109.58999633789062,2.7
2010-03-18,87.57229614257812,57.36802673339844,110.33999633789062,2.7
2010-03-19,87.57229614257812,57.36802673339844,110.33999633789062,2.68
2010-03-19,87.12901306152344,57.42470932006836,108.27999877929688,2.68
2010-03-22,87.12901306152344,57.42470932006836,108.27999877929688,2.66
2010-03-22,87.59484100341797,57.48761749267578,107.75,2.66
2010-03-23,87.59484100341797,57.48761749267578,107.75,2.67
2010-03-23,88.21089935302734,57.21701431274414,108.31999969482422,2.67
2010-03-24,88.21089935302734,57.21701431274414,108.31999969482422,2.76
2010-03-24,87.78266906738281,56.172462463378906,106.30000305175781,2.76
2010-03-25,87.78266906738281,56.172462463378906,106.30000305175781,2.81
2010-03-25,87.639892578125,55.813838958740234,106.77999877929688,2.81
2010-03-26,87.639892578125,55.813838958740234,106.77999877929688,2.82
2010-03-26,87.58729553222656,55.97111129760742,108.58999633789062,2.82
2010-03-29,87.58729553222656,55.97111129760742,108.58999633789062,2.84
2010-03-29,88.1432876586914,55.7572021484375,108.75,2.84
2010-03-30,88.1432876586914,55.7572021484375,108.75,2.82
2010-03-30,88.20339965820312,55.93335723876953,107.97000122070312,2.82
2010-03-31,88.20339965820312,55.93335723876953,107.97000122070312,2.82
2010-03-31,87.9028549194336,56.31721496582031,108.94999694824219,2.82
2010-04-01,87.9028549194336,56.31721496582031,108.94999694824219,2.84
2010-04-01,88.50393676757812,56.17951202392578,110.26000213623047,2.84
2010-04-02,88.50393676757812,56.17951202392578,110.26000213623047,2.85
2010-04-05,88.50393676757812,56.17951202392578,110.26000213623047,2.83
2010-04-05,89.22517395019531,55.24479293823242,110.88999938964844,2.83
2010-04-06,89.22517395019531,55.24479293823242,110.88999938964844,2.84
2010-04-06,89.43555450439453,55.33322525024414,111.02999877929688,2.84
2010-04-07,89.43555450439453,55.33322525024414,111.02999877929688,2.83
2010-04-07,88.92462158203125,56.040611267089844,112.48999786376953,2.83
2010-04-08,88.92462158203125,56.040611267089844,112.48999786376953,2.82
2010-04-08,89.232666015625,56.065834045410156,112.6500015258789,2.82
2010-04-09,89.232666015625,56.065834045410156,112.6500015258789,2.82
2010-04-09,89.81867980957031,56.198490142822266,113.63999938964844,2.82
2010-04-12,89.81867980957031,56.198490142822266,113.63999938964844,2.8
2010-04-12,89.96141815185547,56.49532699584961,113.01000213623047,2.8
2010-04-13,89.96141815185547,56.49532699584961,113.01000213623047,2.77
2010-04-13,90.02908325195312,56.678524017333984,112.69000244140625,2.77
2010-04-14,90.02908325195312,56.678524017333984,112.69000244140625,2.81
2010-04-14,91.05084991455078,56.28055191040039,113.02999877929688,2.81
2010-04-15,91.05084991455078,56.28055191040039,113.02999877929688,2.82
2010-04-15,91.1259765625,56.34372329711914,113.6500015258789,2.82
2010-04-16,91.1259765625,56.34372329711914,113.6500015258789,2.81
2010-04-16,89.67594909667969,56.75428771972656,111.23999786376953,2.81
2010-04-19,89.67594909667969,56.75428771972656,111.23999786376953,2.82
2010-04-19,90.0140380859375,56.61532974243164,111.1500015258789,2.82
2010-04-20,90.0140380859375,56.61532974243164,111.1500015258789,2.77
2010-04-20,90.81793975830078,56.81745910644531,111.45999908447266,2.77
2010-04-21,90.81793975830078,56.81745910644531,111.45999908447266,2.74
2010-04-21,90.65264129638672,57.284847259521484,112.30999755859375,2.74
2010-04-22,90.65264129638672,57.284847259521484,112.30999755859375,2.73
2010-04-22,90.92311096191406,57.1142692565918,111.83999633789062,2.73
2010-04-23,90.92311096191406,57.1142692565918,111.83999633789062,2.74
2010-04-23,91.51666259765625,56.91216278076172,113.19000244140625,2.74
2010-04-26,91.51666259765625,56.91216278076172,113.19000244140625,2.74
2010-04-26,91.17103576660156,56.975345611572266,112.75,2.74
2010-04-27,91.17103576660156,56.975345611572266,112.75,2.68
2010-04-27,89.0147933959961,57.77741241455078,114.62999725341797,2.68
2010-04-28,89.0147933959961,57.77741241455078,114.62999725341797,2.77
2010-04-28,89.69098663330078,57.284847259521484,114.30999755859375,2.77
2010-04-29,89.69098663330078,57.284847259521484,114.30999755859375,2.75
